

 1D internal forces





Type Name	Name	1D internal forces
1D internal forces	1D internal forces	See table 1

Table 1
Type Name	1D internal forces
1D internal forces	Linear calculation  Combination: ULS-Set B (auto)  Coordinate system: Principal  Extreme 1D: Member  Selection: All    See table 2

Table 2
Name	dx  [m]	Case	N  [kN]	V_{y}  [kN]	V_{z}  [kN]	M_{x}  [kNm]	M_{y}  [kNm]	M_{z}  [kNm]
B60	3.546	ULS-Set  B  (auto)/2	-1046.82	-77.95	-16.54	-1.67	511.29	-139.02
B60	0.000	ULS-Set  B  (auto)/1	-1421.61	-105.23	33.67	-2.26	670.13	185.49
B60	0.000	ULS-Set  B  (auto)/2	-1053.05	-77.95	24.94	-1.67	496.39	137.40
B60	2.257	ULS-Set  B  (auto)/1	-1416.27	-105.23	-1.96	-2.26	705.90	-51.98
B60	3.546	ULS-Set  B  (auto)/1	-1413.21	-105.23	-22.33	-2.26	690.24	-187.68
B61	0.000	ULS-Set  B  (auto)/1	-1934.25	119.72	44.28	159.60	1003.73	137.77
B61	0.392	ULS-Set  B  (auto)/2	-1431.98	88.68	28.23	118.22	755.47	136.82
B61	0.000	ULS-Set  B  (auto)/2	-1432.78	88.68	32.80	118.22	743.50	102.05
B61	0.392	ULS-Set  B  (auto)/1	-1933.18	119.72	38.11	159.60	1019.88	184.70
B62	0.223	ULS-Set  B  (auto)/2	-857.64	642.09	58.77	12.96	660.93	77.38
B62	0.000	ULS-Set  B  (auto)/2	-858.12	642.09	61.37	12.96	647.54	-65.71
B62	0.000	ULS-Set  B  (auto)/1	-1158.46	866.82	82.84	17.49	874.18	-88.71
B62	0.223	ULS-Set  B  (auto)/1	-1157.82	866.82	79.34	17.49	892.25	104.46
B63	0.000	ULS-Set  B  (auto)/1	1.00	-9.85	28.23	-12.61	580.82	28.83
B63	4.048	ULS-Set  B  (auto)/2	0.05	-7.29	-26.98	-9.34	417.96	-8.17
B63	1.687	ULS-Set  B  (auto)/1	0.61	-9.85	1.29	-12.61	605.72	12.23
B63	4.048	ULS-Set  B  (auto)/1	0.07	-9.85	-36.42	-12.61	564.24	-11.02
B64	0.000	ULS-Set  B  (auto)/1	-1990.57	-414.91	-57.87	-15.03	1044.85	463.89
B64	0.000	ULS-Set  B  (auto)/2	-1474.50	-307.34	-42.87	-11.13	773.96	343.62
B64	2.277	ULS-Set  B  (auto)/2	-1479.21	-307.34	-69.39	-11.13	646.14	-356.25
B64	2.277	ULS-Set  B  (auto)/1	-1996.93	-414.91	-93.68	-15.03	872.29	-480.94
B65	1.904	ULS-Set  B  (auto)/1	-1708.03	643.74	-103.14	40.87	487.17	624.41
B65	0.000	ULS-Set  B  (auto)/2	-1260.74	476.85	-54.33	30.27	485.29	-445.17
B65	1.904	ULS-Set  B  (auto)/2	-1265.21	476.85	-76.40	30.27	360.87	462.52
B65	0.000	ULS-Set  B  (auto)/1	-1702.00	643.74	-73.34	40.87	655.14	-600.98
B66	2.630	ULS-Set  B  (auto)/2	-543.11	-178.08	42.60	-21.65	564.13	-263.02
B66	0.000	ULS-Set  B  (auto)/1	-736.39	-240.41	99.39	-29.23	555.24	277.28
B66	0.000	ULS-Set  B  (auto)/2	-545.48	-178.08	73.62	-21.65	411.29	205.39
